"Manufacturernumber","Articlenumber","EAN","Technical details","Product category","Technical specifications","Picture normal reduced","Depth m","Width m","Length m","Weight kg","Delivery time days","Type of product","Price quantity","ETIM Features","ETIM","ECLASS Features","ECLASS","PROFICLASS Features","PROFICLASS","Product features"
"EKM60IDCFB","EKM60IDCFB","4012078882446","Geeignet fürverschiedene Anwendungen|Pressformsonstige|Querschnitt10mm²|AWG-Bereich10|Länge429mm|Mit Sperrvorrichtung (bei mechanischen Werkzeugen)false|Ausführung/Betätigungakku-hydraulisch|Einsätze auswechselbarfalse|Anzahl der mitgelieferten Einsätze1|Mit automatischem Rücklauftrue|Zykluszeit-s|Presskraft-kN","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/ekm60idcfb_jpg/detail.jpg/normal.jpg","","","","6.2","","",1,"Geeignet fürverschiedene Anwendungen|Pressformsonstige|Querschnitt10|AWG-Bereich10|Länge429|Mit Sperrvorrichtung (bei mechanischen Werkzeugen)false|Ausführung/Betätigungakku-hydraulisch|Einsätze auswechselbarfalse|Anzahl der mitgelieferten Einsätze1|Mit automatischem Rücklauftrue|Zykluszeit-|Presskraft-","EC000168","","","","",""
"EKM60UNVCFB","EKM60UNVCFB","4012078882774","Ausführung/Betätigungakku-hydraulisch|Anwendung Pressentrue|Anwendung Schneidentrue|Anwendung Lochentrue|Max. Arbeitsdruck630bar|Presskraft63kN","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/ekm60unvcfb_jpg/detail.jpg/normal.jpg","","","","6.24","","",1,"Ausführung/Betätigungakku-hydraulisch|Anwendung Pressentrue|Anwendung Schneidentrue|Anwendung Lochentrue|Max. Arbeitsdruck630|Presskraft63","EC001186","","","","",""
"ES105CFB","ES105CFB","4012078887076","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge612mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es105cfb_jpg/detail.jpg/normal.jpg","","","","22.8","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge612|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES20CFB","ES20CFB","4012078878395","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser20mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge378mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es20cfb_jpg/detail.jpg/normal.jpg","","","","5.4","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser20|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge378|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES20RMCCFB","ES20RMCCFB","4012078905602","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser18mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge-mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es20rmccfb_jpg/detail.jpg/normal.jpg","","","","5.46","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser18|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge-|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES32CFB","ES32CFB","4012078883450","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge402mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung1-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es32cfb_jpg/detail.jpg/normal.jpg","","","","5.24","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge402|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung1-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES32FCFB","ES32FCFB","4012078883467","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge401mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung1-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es32fcfb_jpg/detail.jpg/normal.jpg","","","","5.24","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge401|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung1-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES32RMCCFB","ES32RMCCFB","4012078927710","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge-mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es32rmccfb_jpg/detail.jpg/normal.jpg","","","","5.46","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser32|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge-|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES65CFB","ES65CFB","4012078884525","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser65mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge490mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es65cfb_jpg/detail.jpg/normal.jpg","","","","10.8","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser65|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge490|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ES85CFB","ES85CFB","4012078885447","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser85mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge536mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/es85cfb_jpg/detail.jpg/normal.jpg","","","","11.6","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser85|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge536|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG105CFB","ESG105CFB","4012078884266","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge620mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esg105cfb_jpg/detail.jpg/normal.jpg","","","","20.0","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge620|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG105RMCPCFB","ESG105RMCPCFB","4059577030725","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105mm|Max. Kabelquerschnitt8660mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge620mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'","","","","17.3","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser105|Max. Kabelquerschnitt8660|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge620|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG25CFB","ESG25CFB","4012078878456","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge422mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esg25cfb_jpg/detail.jpg/normal.jpg","","","","5.6","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge422|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG45CFB","ESG45CFB","4012078887083","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser45mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge412mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esg45cfb_jpg/detail.jpg/normal.jpg","","","","11.2","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser45|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge412|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG55CFB","ESG55CFB","4012078878517","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser55mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge478mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esg55cfb_jpg/detail.jpg/normal.jpg","","","","12.4","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser55|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge478|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESG85CFB","ESG85CFB","4012078887106","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser85mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge535mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esg85cfb_jpg/detail.jpg/normal.jpg","","","","10.9","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser85|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge535|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESGM45CFB","ESGM45CFB","4012078881883","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser45mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge497mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esgm45cfb_jpg/detail.jpg/normal.jpg","","","","8.7","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser45|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leiterfalse|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge497|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESM25CFB","ESM25CFB","4012078958738","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge449mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esm25cfb_jpg/detail.jpg/normal.jpg","","","","5.6","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge449|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESM25ISB","ESM25ISB","4012078995825","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25mm|Max. Kabelquerschnitt490mm²|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge477mm|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isolierttrue|Schutzisoliert 1000 Vtrue|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüfttrue","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esm25cfm_jpg/detail.jpg/normal.jpg","","","","7.8","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser25|Max. Kabelquerschnitt490|Geeignet für mehrdrähtige Leiterfalse|Geeignet für feindrähtige Leiterfalse|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungtrue|Gesamtlänge477|Schneidkopf auswechselbartrue|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isolierttrue|Schutzisoliert 1000 Vtrue|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüfttrue","EC000142","","","","",""
"","320621000000-199-1","4016111708205","Werkzeug Gewicht ohne Akku1995g|Werkzeug Gewicht mit Akku2400g|Setzkraft24000N|Hub20mm","","","'https://www.nexmart.com/media/catalog/ampshare/rivdom-evng-2-ampshare-001.jpg/normal.jpg","","","","5.8","","",1,"","","","","","",""
"","321500000010-1-1","4016111714060","","","","'https://www.nexmart.com/media/catalog/ampshare/ampshare-starter-set-1.jpg/normal.jpg","","","","1.72","","",1,"","","","","","",""
"","321500000011-1-1","4016111714077","","","","'https://www.nexmart.com/media/catalog/ampshare/ampshare-starter-set-2.jpg/normal.jpg","","","","1.28","","",1,"","","","","","",""
"ESM35CFB","ESM35CFB","4012078899420","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser35mm|Max. Kabelquerschnitt-mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge438mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esm35cfb_jpg/detail.jpg/normal.jpg","","","","5.8","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser35|Max. Kabelquerschnitt-|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge438|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbarfalse|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"ESM50CFB","ESM50CFB","4012078905541","Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser50mm|Max. Kabelquerschnitt50mm²|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge509mm|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","","","'https://www.nexmart.com/media/catalog/ampshare/klauke/esm50cfb_jpg/detail.jpg/normal.jpg","","","","7.5","","",1,"Ausführung/Betätigungakku-hydraulisch|Geeignet für max. Kabeldurchmesser50|Max. Kabelquerschnitt50|Geeignet für mehrdrähtige Leitertrue|Geeignet für feindrähtige Leitertrue|Geeignet für massive Leitertrue|Geeignet für Stahldrahtumflechtungfalse|Gesamtlänge509|Schneidkopf auswechselbarfalse|Schneidbacken auswechselbartrue|Mit Abisolierfunktionfalse|Isoliertfalse|Schutzisoliert 1000 Vfalse|Griffausführung2-Komponenten|Mit Aufprallschutzfalse|VDE-geprüftfalse","EC000142","","","","",""
"LBOXXEK354CFB","LBOXXEK354CFB","4012078922135","Geeignet fürKabelschuhe und Verbinder|Pressformuniversal (Wechseleinsätze)|Querschnitt6mm²|AWG-Bereich6|Länge360mm|Mit Sperrvorrichtung (bei mechanischen Werkzeugen)false|Ausführung/Betätigungakku-hydraulisch|Einsätze auswechselbartrue|Anzahl der mitgelieferten Einsätze1|Mit automatischem Rücklauftrue|Zykluszeit-s|Presskraft-kN","","","'","","","","5.31","","",1,"Geeignet fürKabelschuhe und Verbinder|Pressformuniversal (Wechseleinsätze)|Querschnitt6|AWG-Bereich6|Länge360|Mit Sperrvorrichtung (bei mechanischen Werkzeugen)false|Ausführung/Betätigungakku-hydraulisch|Einsätze auswechselbartrue|Anzahl der mitgelieferten Einsätze1|Mit automatischem Rücklauftrue|Zykluszeit-|Presskraft-","EC000168","","","","",""
"","321500000012-1-1","4016111714084","","","","'https://www.nexmart.com/media/catalog/ampshare/ampshare-starter-set-3.jpg/normal.jpg","","","","2.12","","",1,"","","","","","",""
"","321500000005-1-1","4016111703439","","","","'https://www.nexmart.com/media/catalog/ampshare/ladegeraet-gal-18v-40-ampshare.jpg/normal.jpg","","","","0.84","","",1,"","","","","","",""
